id,created_at,block_number,sandwicher_address,frontrun_swap_transaction_hash,frontrun_swap_trace_address,backrun_swap_transaction_hash,backrun_swap_trace_address,profit_amount
e197fbb5-735d-4566-82f3-9a1f76a3a03d,2022-01-16 22:21:16.796440,14017152.0,0x000000000035b5e5ad9019092c665357240f594e,0x1001fc101e374bb0781c30bd00fa5f3798a1b868e319840afe39542b27f54c27,[1],0x92167d18248a7fe69231af390ad965c8879780cd5a918c03b4c6f8bef2c1fc60,[1],1.775430376482408e+16
f1f17c2a-868c-4638-bead-ddf8cf8ec954,2022-01-16 22:21:25.313771,14017168.0,0x0000000099cb7fc48a935bceb9f05bbae54e8987,0xc897af02573e2b9d5bb8b57c0417d59e452bd13680e1249556011b6ac16f65d3,[1],0x4b3865b6648117e0b5a6824ad8ced743be1f6e8c86c933f57107d82474878e8b,[1],73846799.0
9191bf41-a62d-4d92-9809-12942b956aa4,2022-01-16 22:21:25.313771,14017170.0,0x7cf09d7a9a74f746edcb06949b9d64bcd9d1604f,0xc9d483be2014b3cd6920ce8655b3b4aa69ec097a1711091e087cb4044753957b,[0],0x4a490d9763d8b79d7fe2087ada357af1737335c5e24643b3e85f360c2391ff1f,[0],2.7222898989817828e+16
8e8402d7-2f39-4166-92f5-0ce1fdcb87b9,2022-01-16 22:21:25.313771,14017174.0,0x1d6e8bac6ea3730825bde4b005ed7b2b39a2932d,0xd37d2cdd4e216c9070638e05b594625ff41e5d1b85e60b0a1313973b4c7bf1d8,[1],0x076789b47c7a0a5d166d7acdd7dc1c2b2183aa4895bfed27f179278a32995d85,[1],4.072119290406272e+16
a00ff8b6-75f1-48e2-9ff0-7a2f2f78ef76,2022-01-16 22:21:10.607603,14017183.0,0x1d6e8bac6ea3730825bde4b005ed7b2b39a2932d,0x3ab641ebdc50c37782da3c650cd8eeb1b2330ecade06ed53c2fd7af19f020cb3,[1],0xf9704e68d70d56c238d952c87db45768982fa99bf2567068917eeab49b471cec,[1],2.199418869007936e+16
7a2585f2-53ed-47e7-b1fa-e1073b7bd6c1,2022-01-16 22:21:51.023759,14017199.0,0x7cf09d7a9a74f746edcb06949b9d64bcd9d1604f,0x1ff42f5316125d5ccbf7edacc2c3853cad776f963ea82eb6c7ef1a6af5bf31b6,[1],0x547299d38bcdc3171e5797c6feb94f169b3e357a4117be15a0e911e7c9266ea1,[1],2.6778107478278144e+16
d0c5f60b-2761-483c-8d9f-956c1258fe36,2022-01-16 22:21:59.103713,14017212.0,0x00000000008c4fb1c916e0c88fd4cc402d935e7d,0x21f8b895291b3151c381bf6e303b23d3972b48be9ebd45ea5b188f5df478d4f3,[1],0x3d06defbd635e387c6bd173820befb10667628b6b241679875d5b434ca72f672,[1],239645884.0
f61b255a-0c21-4f8d-af2d-8b44554bfead,2022-01-16 22:21:59.103713,14017212.0,0x0000000000d41c96294ccdac8612bdfe29c641af,0xca1badcf0a9519b5796a3ef4b9946df32e0900e797662d1cf3664fb0c9e62649,[1],0xcbdd54d882c9f5345a9ea58a622350b59e8c6eb26be6f6711b170f2928a34821,[1],1.0937195307089198e+17
75c9c3d3-3e42-4989-998f-422e1ce1b9c0,2022-01-16 22:22:18.163406,14017221.0,0x0000000099cb7fc48a935bceb9f05bbae54e8987,0xba70231ea8d1238c4612691bd1de405fe224c773da8734eaed5e8307513505a2,[0],0x923ee7cf5c050f287885c9febcb0397a0d79f02f228f89b64c39a076c4ecaafb,[0],107091759.0
7f5defb7-5689-4078-bc0e-f1e26cc042b0,2022-01-16 22:22:02.970956,14017231.0,0x1d6e8bac6ea3730825bde4b005ed7b2b39a2932d,0xb750578a12d1fbd0712a30c43ca8d1fadf5f8f5f3915265f7df4732e31a47c17,[1],0x612b0ff385972e6c9e2d370f80f99367ff1e5e940079bed5463371ca4b456248,[1],1.132588603731545e+17
